Pose,Affinity (kcal/mol),RMSD l.b.,RMSD u.b.,Cavity ID,Complex File,Interactions File
1,-5.414,0.0,0.0,31,complexes/complex_pose_1.pdb,interactions/interactions_pose_1.json
2,-5.107,2.099,3.821,31,complexes/complex_pose_2.pdb,interactions/interactions_pose_2.json
3,-5.086,1.97,3.59,31,complexes/complex_pose_3.pdb,interactions/interactions_pose_3.json
4,-5.071,2.239,2.916,31,complexes/complex_pose_4.pdb,interactions/interactions_pose_4.json
5,-4.783,1.705,2.075,31,complexes/complex_pose_5.pdb,interactions/interactions_pose_5.json
6,-4.542,1.862,3.916,31,complexes/complex_pose_6.pdb,interactions/interactions_pose_6.json
7,-4.386,1.83,3.959,31,complexes/complex_pose_7.pdb,interactions/interactions_pose_7.json
8,-4.358,1.963,2.428,31,complexes/complex_pose_8.pdb,interactions/interactions_pose_8.json
9,-4.146,1.648,2.298,31,complexes/complex_pose_9.pdb,interactions/interactions_pose_9.json
